ticker
A
AAPL
ABC
ABT
ADBE
ADI
ADM
ADP
ADSK
AEE
AEP
AES
AFL
AIG
ALL
AMAT
AMGN
AON
APA
APD
AVY
AXP
AZO
BA
BAC
BAX
BBY
BDX
BEN
BF.B
BK
BMY
BSX
C
CAG
CAH
CAT
CB
CCL
CI
CINF
CL
CLX
CMA
CMCSA
CMI
CMS
CNP
COF
COP
COST
CPB
CSCO
CSX
CTAS
CVS
CVX
D
DE
DGX
DHR
DIS
DOV
DRI
DTE
DUK
DVN
EA
EBAY
ECL
ED
EFX
EIX
EMN
EMR
EOG
EQR
ETN
ETR
EXC
F
FCX
FDX
FE
FISV
FITB
GD
GE
GIS
GLW
GPC
GS
GWW
HAL
HAS
HBAN
HD
HES
HIG
HON
HPQ
HSY
HUM
IBM
IFF
INTC
INTU
IP
IPG
ITW
JCI
JNJ
JPM
K
KEY
KLAC
KMB
KO
KR
L
LLY
LMT
LNC
LOW
LUV
MAR
MAS
MCD
MCK
MCO
MDT
MET
MMC
MMM
MO
MRK
MRO
MS
MSFT
MSI
MU
NEE
NEM
NI
NKE
NOC
NSC
NTAP
NTRS
NUE
NVDA
NWL
OMC
ORCL
OXY
PAYX
PCAR
PEG
PEP
PFE
PFG
PG
PGR
PH
PHM
PKI
PNC
PNW
PPG
PPL
PRU
QCOM
RF
RHI
ROK
SBUX
SCHW
SEE
SHW
SLB
SNA
SO
SPG
SPGI
SRE
STT
SWK
SYK
SYY
T
TAP
TGT
TJX
TMO
TROW
TRV
TXN
TXT
UNH
UNP
UPS
USB
VFC
VMC
VZ
WAT
WBA
WFC
WHR
WM
WMB
WMT
WY
XEL
XOM
YUM
ZBH
ZION
